date,source_district,dest_district,count,source_lat,source_lon,source_state,dest_lat,dest_lon,dest_state,distance,person_km,is_anomaly,anomaly_score
2025-01-01,Aizawl,Mumbai,1,23.718475,92.727325,Mizoram,19.058477777777775,72.88543333333334,Maharashtra,2116.5652874148677,2116.5652874148677,False,0.12916364801395513
2025-01-01,Gurugram,Hyderabad,1,28.45979,77.03814,Haryana,17.391866666666665,78.48093333333334,Telangana,1239.4930118102154,1239.4930118102154,False,0.1868656432217845
2025-01-01,Haridwar,Coimbatore,1,29.95303,78.17022,Uttarakhand,11.02152,76.93631,Tamil Nadu,2108.9570355032847,2108.9570355032847,False,0.1320929424869397
2025-01-01,Imphal,Gangtok,1,24.8259875,93.9347375,Manipur,27.350925,88.616375,Sikkim,600.666858799134,600.666858799134,False,0.15380668595147712
2025-01-01,Jammu,Leh,1,32.724399999999996,74.85834444444444,Jammu and Kashmir,34.152385714285714,77.5697,Ladakh,297.48453984066936,297.48453984066936,False,0.11215877323453022
2025-01-01,Leh,Kochi,1,34.152385714285714,77.5697,Ladakh,9.9226625,76.2578625,Kerala,2697.5371654394853,2697.5371654394853,True,-0.013667507649504751
2025-01-01,Meerut,Hyderabad,1,28.97258888888889,77.70844444444444,Uttar Pradesh,17.391866666666665,78.48093333333334,Telangana,1290.12341498201,1290.12341498201,False,0.18020927746181242
2025-01-01,Raipur,Jaipur,1,21.2675625,81.6143625,Chhattisgarh,26.921,75.7888875,Rajasthan,862.7532499317687,862.7532499317687,False,0.18212929559748642
2025-01-01,Ranchi,Gangtok,1,23.333228571428577,85.30442857142857,Jharkhand,27.350925,88.616375,Sikkim,557.0269471205426,557.0269471205426,False,0.15450866071797176
2025-01-01,Siliguri,Jaipur,1,26.72174,88.38825999999999,West Bengal,26.921,75.7888875,Rajasthan,1249.9453128702337,1249.9453128702337,False,0.18610253304183394
2025-01-01,Srinagar,Kolkata,1,34.08204444444445,74.79922222222223,Jammu and Kashmir,22.59022,88.3665,West Bengal,1839.3130648139902,1839.3130648139902,False,0.10013704976155768
2025-01-01,Srinagar,Shimla,1,34.08204444444445,74.79922222222223,Jammu and Kashmir,31.08736,77.16824,Himachal Pradesh,400.15449659547636,400.15449659547636,False,0.10013704976155768
2025-01-01,Vijayawada,Port Blair,1,16.495687500000003,80.6768,Andhra Pradesh,11.624955555555555,92.74127777777778,Andaman and Nicobar Islands,1408.9625149970234,1408.9625149970234,False,0.1749748594317096
2025-01-02,Ahmedabad,Imphal,1,23.000914285714284,72.55552857142857,Gujarat,24.8259875,93.9347375,Manipur,2180.415478829802,2180.415478829802,False,0.12003187887538719
2025-01-02,Coimbatore,Mumbai,1,11.02152,76.93631,Tamil Nadu,19.058477777777775,72.88543333333334,Maharashtra,993.7264993435747,993.7264993435747,False,0.18052175875810444
2025-01-02,Cuttack,Varanasi,1,20.4635,85.88823333333333,Odisha,25.31274,82.98568,Uttar Pradesh,615.6901177407444,615.6901177407444,False,0.15977322135179772
2025-01-02,Dehradun,Bengaluru,1,30.30269,78.0337,Uttarakhand,12.9653875,77.58175,Karnataka,1928.37960672882,1928.37960672882,False,0.14050487437563713
2025-01-02,Gangtok,Dehradun,1,27.350925,88.616375,Sikkim,30.30269,78.0337,Uttarakhand,1081.3747222365932,1081.3747222365932,False,0.19167029846710842
2025-01-02,Gurugram,Kanpur,1,28.45979,77.03814,Haryana,26.4537,80.33809,Uttar Pradesh,394.65431112558144,394.65431112558144,False,0.1351596720830474
